Ligne;Mots retenus;PoS;lemmes;Ner_PERS;Ner_ORG;Ner_LIEU;Ner_COVID
du;[];[];[];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
boxers;[boxers];[NC];[boxer];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
aussi;[];[];[];[];[];[];[]
gagné;[gagné];[VPP];[gagner];[];[];[];[]
en;[];[];[];[];[];[];[]
popularité;[popularité];[NC];[popularité];[];[];[];[]
durant;[];[];[];[];[];[];[]
le;[];[];[];[];[];[];[]
confinement;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
augmentant;[augmentant];[VPR];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
53;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
entre;[];[];[];[];[];[];[]
mars;[mars];[NC];[mars];[];[];[];[]
et;[];[];[];[];[];[];[]
mai;[mai];[NC];[mai];[];[];[];[]
,;[];[];[];[];[];[];[]
notamment;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
marques;[marques];[NC];[marque];[];[];[];[]
Calvin;[calvin];[NPP];[calvin];[];[];[calvin];[]
Klein;[klein];[N];[klein];[];[];[];[]
(;[];[];[];[];[];[];[]
36;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
);[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
Versace;[versace];[ADJ];[versace];[];[];[versace];[]
(;[];[];[];[];[];[];[]
48;[48];[N];[48];[];[];[];[]
%;[];[];[];[];[];[];[]
);[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
Polo;[polo];[NPP];[polo];[];[];[];[]
Ralph;[ralph];[NPP];[ralph];[];[];[];[]
Lauren;[lauren];[NPP];[lauren];[];[];[lauren];[]
(;[];[];[];[];[];[];[]
51;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
);[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
Supreme;[supreme];[NC];[supreme];[];[];[];[]
55;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
);[];[];[];[];[];[];[]
et;[];[];[];[];[];[];[]
Emporio;[emporio];[NPP];[emporio];[];[];[];[]
Armani;[armani];[VPP];[armani];[];[];[];[]
(;[];[];[];[];[];[];[]
56;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
);[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
boots;[boots];[NC];[boots];[];[];[];[]
;[];[];[];[];[];[];[]
rangers;[rangers];[NC];[ranger];[];[];[];[]
;[];[];[];[];[];[];[]
:;[];[];[];[];[];[];[]
49;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Cette;[];[];[];[];[];[];[]
année;[année];[NC];[année];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
pièces;[pièces];[NC];[pièce];[];[];[];[]
mode;[mode];[NC];[mode];[];[];[];[]
d’inspiration;[inspiration];[NC];[inspiration];[];[];[];[]
militaire;[militaire];[ADJ];[militaire];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
fait;[fait];[N];[faire];[];[];[];[]
fureur;[fureur];[NC];[fureur];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
bottes;[bottes];[NC];[botte];[];[];[];[]
;[];[];[];[];[];[];[]
chunky;[chunky];[ADJ];[chunky];[];[];[];[]
;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
do;[do];[ET];[do];[];[];[];[]
nt;[nt];[ET];[nt];[];[];[];[]
les;[];[];[];[];[];[];[]
bottes;[bottes];[NC];[botte];[];[];[];[]
de;[];[];[];[];[];[];[]
style;[style];[NC];[style];[];[];[];[]
;[];[];[];[];[];[];[]
rangers;[rangers];[NC];[ranger];[];[];[];[]
;[];[];[];[];[];[];[]
et;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
stomper;[stomper];[VINF];[stomper];[];[];[];[]
boots;[boots];[NC];[boots];[];[];[];[]
;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
49;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
d’une;[];[];[];[];[];[];[]
année;[année];[NC];[année];[];[];[];[]
à;[];[];[];[];[];[];[]
l’autre;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
pièces;[pièces];[NC];[pièce];[];[];[];[]
en;[];[];[];[];[];[];[]
cuir;[cuir];[NC];[cuir];[];[];[];[]
:;[];[];[];[];[];[];[]
32;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
pièces;[pièces];[NC];[pièce];[];[];[];[]
en;[];[];[];[];[];[];[]
cuir;[cuir];[NC];[cuir];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
connu;[connu];[VPP];[connaître];[];[];[];[]
une;[];[];[];[];[];[];[]
croissance;[croissance];[NC];[croissance];[];[];[];[]
de;[];[];[];[];[];[];[]
32;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
depuis;[];[];[];[];[];[];[]
l’année;[année];[NC];[année];[];[];[];[]
dernière;[dernière];[ADJ];[dernier];[];[];[];[]
,;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
particulier;[particulier];[ADJ];[particulier];[];[];[];[]
les;[];[];[];[];[];[];[]
vestes;[vestes];[ADJ];[veste];[];[];[];[]
en;[];[];[];[];[];[];[]
cuir;[cuir];[NC];[cuir];[];[];[];[]
et;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
silhouettes;[silhouettes];[NC];[silhouette];[];[];[];[]
oversize;[oversize];[ADJ];[oversize];[];[];[];[]
.;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
Nap;[nap];[NPP];[nap];[];[];[];[]
dresses;[dresses];[NC];[dresser];[];[];[];[]
;[];[];[];[];[];[];[]
:;[];[];[];[];[];[];[]
22;[22];[ADJ];[22];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
Les;[];[];[];[];[];[];[]
robes;[robes];[NC];[robe];[];[];[];[]
amples;[amples];[NC];[ample];[];[];[];[]
à;[];[];[];[];[];[];[]
manches;[manches];[NC];[manche];[];[];[];[]
bouffantes;[bouffantes];[ADJ];[bouffant];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
blouses;[blouses];[NC];[blouse];[];[];[];[]
fluides;[fluides];[NC];[fluide];[];[];[];[]
et;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
cardigans;[cardigans];[NC];[cardigan];[];[];[];[]
amples;[amples];[NC];[ample];[];[];[];[]
sont;[sont];[V];[être];[];[];[];[]
devenus;[devenus];[VPP];[devenir];[];[];[];[]
des;[];[];[];[];[];[];[]
pièces;[pièces];[NC];[pièce];[];[];[];[]
incontournables;[incontournables];[ADJ];[incontournable];[];[];[];[]
.;[];[];[];[];[];[];[]
En;[];[];[];[];[];[];[]
juillet;[juillet];[NC];[juillet];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
nap;[];[];[];[];[];[];[]
dresses;[dresses];[NC];[dresser];[];[];[];[]
;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
entre;[];[];[];[];[];[];[]
chemises;[chemises];[ADJ];[chemise];[];[];[];[]
de;[];[];[];[];[];[];[]
nuit;[nuit];[NC];[nuit];[];[];[];[]
et;[];[];[];[];[];[];[]
robes;[robes];[NC];[robe];[];[];[];[]
victoriennes;[victoriennes];[ADJ];[victorien];[];[];[];[]
,;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
22;[22];[ADJ];[22];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
La;[];[];[];[];[];[];[]
robe;[robe];[NC];[robe];[];[];[];[]
à;[];[];[];[];[];[];[]
manches;[manches];[NC];[manche];[];[];[];[]
bouffantes;[bouffantes];[ADJ];[bouffant];[];[];[];[]
oversize;[oversize];[ADJ];[oversize];[];[];[];[]
H&M;[];[];[];[];[];[];[]
a;[];[];[];[];[];[];[]
été;[été];[VPP];[être];[];[];[];[]
le;[];[];[];[];[];[];[]
modèle;[modèle];[NC];[modèle];[];[];[];[]
privilégié;[privilégié];[ADJ];[privilégié];[];[];[];[]
par;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
acheteuses;[acheteuses];[ADJ];[acheteur];[];[];[];[]
pour;[];[];[];[];[];[];[]
se;[];[];[];[];[];[];[]
mettre;[mettre];[V];[mettre];[];[];[];[]
en;[];[];[];[];[];[];[]
quarantaine;[quarantaine];[NC];[quarantaine];[];[];[];[quarantaine]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
vêtements;[vêtements];[NC];[vêtement];[];[];[];[]
gainants;[gainants];[NC];[gainants];[];[];[];[]
:;[];[];[];[];[];[];[]
36;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
pour;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
vêtements;[vêtements];[NC];[vêtement];[];[];[];[]
gainants;[gainants];[NC];[gainants];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
eux;[];[];[];[];[];[];[]
aussi;[];[];[];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
36;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
d’une;[];[];[];[];[];[];[]
année;[année];[NC];[année];[];[];[];[]
à;[];[];[];[];[];[];[]
l’autre;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
La;[];[];[];[];[];[];[]
gamme;[gamme];[NC];[gamme];[];[];[];[]
SKIMS;[skims];[NPP];[skims];[];[];[];[]
de;[];[];[];[];[];[];[]
Kim;[kim];[NPP];[kim];[];[];[];[]
Kardashian;[kardashian];[ET];[kardashian];[];[];[];[]
West;[west];[NPP];[west];[];[];[];[]
,;[];[];[];[];[];[];[]
lancée;[lancée];[VPP];[lancer];[];[];[];[]
en;[];[];[];[];[];[];[]
2019;[2019];[N];[2019];[];[];[];[]
,;[];[];[];[];[];[];[]
a;[];[];[];[];[];[];[]
contribué;[contribué];[VPP];[contribuer];[];[];[];[]
au;[];[];[];[];[];[];[]
succès;[succès];[NC];[succès];[];[];[];[]
de;[];[];[];[];[];[];[]
cette;[];[];[];[];[];[];[]
catégorie;[catégorie];[NC];[catégorie];[];[];[];[]
.;[];[];[];[];[];[];[]
Lorsque;[];[];[];[];[];[];[]
que;[];[];[];[];[];[];[]
cette;[];[];[];[];[];[];[]
griffe;[griffe];[NC];[griffe];[];[];[];[]
a;[];[];[];[];[];[];[]
sorti;[sorti];[VPP];[sortir];[];[];[];[]
une;[];[];[];[];[];[];[]
gamme;[gamme];[NC];[gamme];[];[];[];[]
maternité;[maternité];[NC];[maternité];[];[];[];[]
en;[];[];[];[];[];[];[]
septembre;[septembre];[NC];[septembre];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
pour;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
vêtements;[vêtements];[NC];[vêtement];[];[];[];[]
de;[];[];[];[];[];[];[]
maternité;[maternité];[NC];[maternité];[];[];[];[]
gainants;[gainants];[NC];[gainants];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
bondi;[bondi];[VPP];[bondir];[];[];[];[]
de;[];[];[];[];[];[];[]
233;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
cyclistes;[cyclistes];[NC];[cycliste];[];[];[];[]
:;[];[];[];[];[];[];[]
43;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
Les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
pour;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
cyclistes;[cyclistes];[NC];[cycliste];[];[];[];[]
,;[];[];[];[];[];[];[]
y;[];[];[];[];[];[];[]
compris;[compris];[VPP];[comprendre];[];[];[];[]
les;[];[];[];[];[];[];[]
requêtes;[requêtes];[NC];[requête];[];[];[];[]
incluant;[incluant];[VPR];[inclure];[];[];[];[]
les;[];[];[];[];[];[];[]
termes;[termes];[NC];[terme];[];[];[];[]
;[];[];[];[];[];[];[]
vélo;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
et;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
course;[course];[NC];[course];[];[];[];[]
;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
étaient;[étaient];[V];[être];[];[];[];[]
à;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
hausse;[hausse];[NC];[hausse];[];[];[];[]
en;[];[];[];[];[];[];[]
septembre;[septembre];[NC];[septembre];[];[];[];[]
:;[];[];[];[];[];[];[]
43;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Quant;[];[];[];[];[];[];[]
aux;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
jupes;[jupes];[NC];[jupe];[];[];[];[]
de;[];[];[];[];[];[];[]
tennis;[tennis];[NC];[tennis];[];[];[];[]
,;[];[];[];[];[];[];[]
notamment;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
jupe;[jupe];[V];[jupe];[];[];[];[]
de;[];[];[];[];[];[];[]
tennis;[tennis];[NC];[tennis];[];[];[];[]
blanche;[blanche];[ADJ];[blanc];[];[];[];[]
plissée;[plissée];[VPP];[plissé];[];[];[];[]
Nike;[nike];[NPP];[nike];[];[];[];[]
Court;[court];[ADJ];[court];[];[];[];[]
Victory;[victory];[NPP];[victory];[];[];[victory];[]
,;[];[];[];[];[];[];[]
elles;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
33;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
en;[];[];[];[];[];[];[]
juin;[juin];[NC];[juin];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
jupes;[jupes];[NC];[jupe];[];[];[];[]
;[];[];[];[];[];[];[]
sailor;[sailor];[ADJ];[sailor];[];[];[];[]
moon;[moon];[NC];[moon];[];[];[];[]
;[];[];[];[];[];[];[]
:;[];[];[];[];[];[];[]
16;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
styles;[styles];[NC];[style];[];[];[];[]
e-girl;[];[];[];[];[];[];[]
et;[];[];[];[];[];[];[]
e-boy;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
une;[];[];[];[];[];[];[]
esthétique;[esthétique];[ADJ];[esthétique];[];[];[];[]
propulsée;[propulsée];[VPP];[propulser];[];[];[];[]
par;[];[];[];[];[];[];[]
TikTok;[tiktok];[NPP];[tiktok];[];[];[];[]
et;[];[];[];[];[];[];[]
inspirée;[inspirée];[VPP];[inspirer];[];[];[];[]
par;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
animes;[animes];[ADJ];[animer];[];[];[];[]
,;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
eu;[eu];[V];[avoir];[];[];[];[]
le;[];[];[];[];[];[];[]
vent;[vent];[N];[vent];[];[];[];[]
en;[];[];[];[];[];[];[]
poupe;[poupe];[N];[poupe];[];[];[];[]
en;[];[];[];[];[];[];[]
2020;[2020];[N];[2020];[];[];[];[]
.;[];[];[];[];[];[];[]
Ainsi;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
jupes;[jupes];[NC];[jupe];[];[];[];[]
;[];[];[];[];[];[];[]
Sailor;[sailor];[NPP];[sailor];[];[];[];[]
Moon;[moon];[N];[moon];[];[];[];[]
;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
augmenté;[augmenté];[VPP];[augmenter];[];[];[];[]
de;[];[];[];[];[];[];[]
16;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
d’une;[];[];[];[];[];[];[]
année;[année];[NC];[année];[];[];[];[]
à;[];[];[];[];[];[];[]
l’autre;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
tee;[tee];[ET];[tee];[];[];[];[]
-;[];[];[];[];[];[];[]
shirts;[shirts];[ET];[shirts];[];[];[];[]
en;[];[];[];[];[];[];[]
treillis;[treillis];[VPP];[treillis];[];[];[];[]
:;[];[];[];[];[];[];[]
20;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
Profitant;[profitant];[VPR];[profitant];[];[];[];[]
de;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
même;[];[];[];[];[];[];[]
vague;[vague];[NC];[vague];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
tee;[tee];[ET];[tee];[];[];[];[]
-;[];[];[];[];[];[];[]
shirts;[shirts];[ET];[shirts];[];[];[];[]
en;[];[];[];[];[];[];[]
treillis;[treillis];[VPP];[treillis];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
connu;[connu];[VPP];[connaître];[];[];[];[]
une;[];[];[];[];[];[];[]
augmentation;[];[];[];[];[];[];[]
des;[];[];[];[];[];[];[]
ventes;[ventes];[NC];[vente];[];[];[];[]
de;[];[];[];[];[];[];[]
20;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
La;[];[];[];[];[];[];[]
couleur;[couleur];[NC];[couleur];[];[];[];[]
et;[];[];[];[];[];[];[]
l'imprimé;[imprimé];[VPP];[imprimer];[];[];[];[]
qui;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
buzzé;[buzzé];[VPP];[buzzé];[];[];[];[]
Dans;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
24;[24];[ADJ];[24];[];[];[];[]
heures;[heures];[NC];[heure];[];[];[];[]
qui;[];[];[];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
suivi;[suivi];[VPP];[suivre];[];[];[];[]
le;[];[];[];[];[];[];[]
discours;[discours];[NC];[discours];[];[];[];[]
de;[];[];[];[];[];[];[]
Kamala;[kamala];[NPP];[kamala];[];[];[];[]
Harris;[harris];[NPP];[harris];[];[];[];[]
,;[];[];[];[];[];[];[]
vice-présidente;[];[];[];[];[];[];[]
élue;[élue];[VPP];[élu];[];[];[];[]
des;[];[];[];[];[];[];[]
États;[états];[N];[états];[];[];[];[]
-;[];[];[];[];[];[];[]
Unis;[unis];[ADJ];[unis];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
pantalons;[pantalons];[VIMP];[pantalon];[];[];[];[]
de;[];[];[];[];[];[];[]
costume;[costume];[NC];[costume];[];[];[];[]
blancs;[blancs];[ADJ];[blanc];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
bondi;[bondi];[VPP];[bondir];[];[];[];[]
de;[];[];[];[];[];[];[]
129;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
tandis;[];[];[];[];[];[];[]
que;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
pages;[pages];[NC];[page];[];[];[];[]
vues;[vues];[NC];[voir];[];[];[];[]
de;[];[];[];[];[];[];[]
blouses;[blouses];[NC];[blouse];[];[];[];[]
à;[];[];[];[];[];[];[]
col;[col];[NC];[col];[];[];[];[]
lavallière;[lavallière];[ADJ];[lavallière];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
connu;[connu];[VPP];[connaître];[];[];[];[]
une;[];[];[];[];[];[];[]
hausse;[hausse];[NC];[hausse];[];[];[];[]
de;[];[];[];[];[];[];[]
95;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Plus;[];[];[];[];[];[];[]
généralement;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
d’articles;[articles];[NC];[article];[];[];[];[]
de;[];[];[];[];[];[];[]
couleur;[couleur];[NC];[couleur];[];[];[];[]
blanche;[blanche];[ADJ];[blanc];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
progressé;[progressé];[VPP];[progresser];[];[];[];[]
de;[];[];[];[];[];[];[]
35;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Par;[];[];[];[];[];[];[]
ailleurs;[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
parmi;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
nombreuses;[nombreuses];[ADJ];[nombreux];[];[];[];[]
tenues;[tenues];[VPP];[tenue];[];[];[];[]
portées;[portées];[VPP];[porter];[];[];[];[]
par;[];[];[];[];[];[];[]
Beyoncé;[beyoncé];[VPP];[beyoncé];[];[];[];[]
dans;[];[];[];[];[];[];[]
un;[];[];[];[];[];[];[]
de;[];[];[];[];[];[];[]
ses;[];[];[];[];[];[];[]
derniers;[derniers];[ADJ];[dernier];[];[];[];[]
clips;[clips];[NC];[clip];[];[];[];[]
,;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
combinaison;[combinaison];[NC];[combinaison];[];[];[];[]
de;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
créatrice;[créatrice];[ADJ];[créateur];[];[];[];[]
française;[française];[ADJ];[français];[];[];[];[]
Marine;[marine];[NC];[marine];[];[];[marine];[]
Serre;[serre];[NC];[serre];[];[];[];[]
,;[];[];[];[];[];[];[]
à;[];[];[];[];[];[];[]
imprimé;[imprimé];[VPP];[imprimer];[];[];[];[]
croissant;[croissant];[ADJ];[croissant];[];[];[];[]
de;[];[];[];[];[];[];[]
lune;[lune];[NC];[lune];[];[];[];[]
,;[];[];[];[];[];[];[]
a;[];[];[];[];[];[];[]
été;[été];[VPP];[être];[];[];[];[]
fortement;[];[];[];[];[];[];[]
remarquée;[remarquée];[VPP];[remarquer];[];[];[];[]
.;[];[];[];[];[];[];[]
Dans;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
48;[48];[N];[48];[];[];[];[]
heures;[heures];[NC];[heure];[];[];[];[]
suivant;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
diffusion;[diffusion];[NC];[diffusion];[];[];[];[]
,;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
recherches;[recherches];[NC];[recherche];[];[];[];[]
de;[];[];[];[];[];[];[]
pièces;[pièces];[NC];[pièce];[];[];[];[]
de;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
marque;[marque];[NC];[marque];[];[];[];[]
ont;[ont];[V];[avoir];[];[];[];[]
explosé;[explosé];[VPP];[exploser];[];[];[];[]
de;[];[];[];[];[];[];[]
426;[];[];[];[];[];[];[]
%;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Ce;[];[];[];[];[];[];[]
mardi;[mardi];[NC];[mardi];[];[];[];[]
17;[17];[ADJ];[17];[];[];[];[]
novembre;[novembre];[NC];[novembre];[];[];[];[]
,;[];[];[];[];[];[];[]
à;[];[];[];[];[];[];[]
l'appel;[appel];[NC];[appel];[];[];[];[]
du;[];[];[];[];[];[];[]
syndicat;[syndicat];[NC];[syndicat];[];[];[];[]
anarchiste;[anarchiste];[ADJ];[anarchiste];[];[];[];[]
de;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
CNT;[cnt];[NPP];[cnt];[];[];[];[]
(;[];[];[];[];[];[];[]
confédération;[confédération];[NC];[confédération];[];[];[];[]
nationale;[nationale];[ADJ];[national];[];[];[];[]
du;[];[];[];[];[];[];[]
travail;[travail];[NC];[travail];[];[];[];[]
);[];[];[];[];[];[];[]
,;[];[];[];[];[];[];[]
une;[];[];[];[];[];[];[]
manifestation;[manifestation];[NC];[manifestation];[];[];[];[]
devait;[devait];[V];[devoir];[];[];[];[]
avoir;[avoir];[VINF];[avoir];[];[];[];[]
lieu;[lieu];[N];[lieu];[];[];[];[]
cet;[];[];[];[];[];[];[]
après;[];[];[];[];[];[];[]
-;[];[];[];[];[];[];[]
midi;[midi];[NC];[midi];[];[];[];[]
devant;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
fontaine;[fontaine];[NC];[fontaine];[];[];[];[]
monumentale;[monumentale];[ADJ];[monumental];[];[];[];[]
de;[];[];[];[];[];[];[]
Valence;[valence];[NPP];[valence];[];[];[];[]
puis;[];[];[];[];[];[];[]
au;[];[];[];[];[];[];[]
niveau;[niveau];[NC];[niveau];[];[];[];[]
du;[];[];[];[];[];[];[]
rond;[rond];[ADJ];[rond];[];[];[];[]
-;[];[];[];[];[];[];[]
point;[];[];[];[];[];[];[]
du;[];[];[];[];[];[];[]
KFC;[kfc];[NPP];[kfc];[];[];[];[]
contre;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
loi;[loi];[NC];[loi];[];[];[];[]
de;[];[];[];[];[];[];[]
sécurité;[sécurité];[NC];[sécurité];[];[];[];[]
globale;[globale];[ADJ];[global];[];[];[];[]
,;[];[];[];[];[];[];[]
l'état;[état];[NC];[état];[];[];[];[]
policier;[policier];[NC];[policier];[];[];[];[]
et;[];[];[];[];[];[];[]
ses;[];[];[];[];[];[];[]
dérives;[dérives];[NC];[dériver];[];[];[];[]
autoritaires;[autoritaires];[ADJ];[autoritaire];[];[];[];[]
;[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
Rassemblement;[rassemblement];[NPP];[rassemblement];[];[];[];[]
auquel;[];[];[];[];[];[];[]
avaient;[avaient];[V];[avoir];[];[];[];[]
prévu;[prévu];[VPP];[prévoir];[];[];[];[]
de;[];[];[];[];[];[];[]
prendre;[prendre];[VINF];[prendre];[];[];[];[]
part;[part];[N];[part];[];[];[];[]
des;[];[];[];[];[];[];[]
Gilets;[gilets];[NC];[gilets];[];[];[];[]
jaunes;[jaunes];[ADJ];[jaune];[];[];[];[]
de;[];[];[];[];[];[];[]
Valence;[valence];[NPP];[valence];[];[];[];[]
,;[];[];[];[];[];[];[]
à;[];[];[];[];[];[];[]
l'occasion;[occasion];[NC];[occasion];[];[];[];[]
des;[];[];[];[];[];[];[]
2;[];[];[];[];[];[];[]
ans;[ans];[NC];[an];[];[];[];[]
